,EPIC911
2061.95966831,114633.736732
2061.98010049,114872.41606
2062.00053277,114856.3233
2062.02096484,114970.573539
2062.04139702,115049.03874
2062.0618293,115139.560951
2062.08226137,115229.967024
2062.10269355,115283.031511
2062.12312583,115154.296743
2062.143558,115144.986204
2062.16399008,114999.772081
2062.18442235,
2062.20485452,114605.156365
2062.2252866,114548.479697
2062.24571887,114429.540589
2062.26615104,114353.071903
2062.28658311,114328.157792
2062.30701539,114283.081067
2062.32744756,114162.134741
2062.34787983,113989.623692
2062.3683119,113786.814412
2062.38874407,113526.061855
2062.40917634,113322.0193
2062.4296084,113001.426241
2062.45004057,112735.311696
2062.47047274,112429.999999
2062.49090491,112245.630687
2062.51133708,112033.296205
2062.53176924,111836.179046
2062.55220141,111649.499547
2062.57263357,111422.162231
2062.59306574,111135.678281
2062.6134979,111065.402265
2062.63393007,110999.550594
2062.65436233,110877.305874
2062.67479439,110773.457086
2062.69522666,110661.582876
2062.71565882,110689.468295
2062.73609088,110534.638941
2062.75652314,110442.970698
2062.7769553,110397.728805
2062.79738737,110287.879599
2062.81781963,110218.833398
2062.83825178,110141.339758
2062.85868384,110136.398768
2062.8791161,110505.1163
2062.89954826,110220.66104
2062.91998032,110053.669695
2062.94041258,110006.160938
2062.96084473,109985.774631
2062.98127689,109915.221587
2063.00170905,109999.79854
2063.0221412,110050.903266
2063.04257336,110004.191052
2063.06300551,109941.508637
2063.08343767,109854.143339
2063.10386992,109798.332287
2063.12430207,109811.384111
2063.14473413,109806.219998
2063.16516638,109704.851347
2063.18559853,109726.803057
2063.20603058,109750.449249
2063.22646284,109741.581512
2063.24689489,109750.094247
2063.26732704,109785.538515
2063.28775929,109873.537893
2063.30819134,109670.279982
2063.32862349,109536.927816
2063.34905573,109527.564699
2063.36948778,109408.529733
2063.38991993,109337.739507
2063.41035218,109275.221193
2063.43078422,109175.933657
2063.45121637,109063.156973
2063.47164862,108939.706552
2063.49208076,108775.683905
2063.51251291,108672.521357
2063.53294505,108422.718097
2063.5533772,108251.778235
2063.57380934,108064.105186
2063.59424148,107811.605397
2063.61467363,107616.777828
2063.63510587,107391.976179
2063.65553791,107029.241964
2063.67597005,106771.805696
2063.69640229,106394.277465
2063.71683433,106098.967851
2063.73726647,105632.762832
2063.75769871,105253.022648
2063.77813075,104744.747438
2063.79856289,104176.383493
2063.81899513,103675.638393
2063.83942717,103139.405709
2063.85985931,102644.165757
2063.88029154,102173.479526
2063.90072358,101789.927511
2063.92115582,101321.481736
2063.94158795,101007.437112
2063.96201999,100720.339036
2063.98245222,100703.19986
2064.00288436,100481.966817
2064.02331639,100088.375883
2064.04374862,99796.4028749
2064.06418076,99549.3703467
2064.08461279,99493.8169881
2064.10504502,99471.0210832
2064.12547715,99563.5238972
2064.14590918,
2064.16634142,-1720.4410181
2064.18677355,-2630.27941667
2064.20720558,-2676.78196877
2064.22763781,-2658.1631772
2064.24806994,-2676.00818837
2064.26850196,-2674.15269955
2064.28893419,-2667.13682458
2064.30936632,-2687.80337441
2064.32979855,-2678.48423039
2064.35023058,-2685.92260229
2064.3706627,-2642.62971462
2064.39109493,3821.21182446
2064.41152695,3909.76054638
2064.43195908,-2574.76411515
2064.4523913,2244.38313353
2064.47282343,-2600.4565268
2064.49325545,-225.995352497
2064.51368768,81861.8367637
2064.5341198,99371.6679111
2064.55455182,100306.530023
2064.57498404,100151.763944
2064.59541617,100020.352756
2064.61584819,99926.1600005
2064.63628041,99917.9708155
2064.65671253,99733.7749336
2064.67714462,
2064.69757672,
2064.71800881,
2064.73844091,100156.572273
2064.75887312,100322.832836
2064.77930514,100677.100654
2064.79973736,101081.831898
2064.82016948,101530.13281
2064.84060159,101926.745968
2064.86103371,102340.154496
2064.88146582,102819.590763
2064.90189794,103351.187993
2064.92233005,103802.792792
2064.94276217,104253.21275
2064.96319428,104846.057471
2064.9836265,105377.726319
2065.00405851,105873.581247
2065.02449062,106373.088242
2065.04492284,106888.14077
2065.06535485,107379.73768
2065.08578696,107775.216683
2065.10621917,108130.242623
2065.12665118,108463.725625
2065.14708329,108736.950527
2065.1675155,109135.83786
2065.18794751,109239.637145
2065.20837972,109333.075096
2065.22881183,109449.888668
